# EP_MODEL,v5-regime,flag=v5,ship_gate=True
# ARMS,ep=max(floor, affine, dyn_anchor); v5 scales max(affine,dyn_anchor) by m_money*m_pos*m_elite (floor never scaled)
# REGIME,R_now=1.4057,R_bar=2.56783,lambda=0.47699,gamma=0.0,m_money=0.8,m_pos={'QB': 1.0, 'RB': 1.0, 'WR': 1.0, 'TE': 1.0}
# TUNABLES (NOT fitted),m_money_clamp=[0.8, 1.6],m_pos_clamp=[0.85, 1.35],POS_DYN_W={'QB': 1.0, 'WR': 0.9, 'TE': 0.9, 'RB': 0.55},dyn_anchor_$75K,startability_floor_table
# BACKTEST (LOYO 2022-25, credible clears),v4={'mae': 5.595, 'dw_mae': 9.984, 'bias': 0.214, 'n': 126},v5={'mae': 5.421, 'dw_mae': 9.453, 'bias': -0.071, 'n': 126}
# ARM_TRUTH (credible historical clears),{'floor': {'n': 47, 'binding_share': 0.373, 'paid_share': 0.2238, 'mae': 3.426, 'dw_mae': 4.869, 'bias': -0.489}, 'affine': {'n': 76, 'binding_share': 0.6032, 'paid_share': 0.7371, 'mae': 7.0, 'dw_mae': 11.824, 'bias': 0.605}, 'dyn_anchor': {'n': 3, 'binding_share': 0.0238, 'paid_share': 0.039, 'mae': 4.0, 'dw_mae': 4.556, 'bias': 1.333}}
# WARNING,The dynasty-anchor arm binds 73% of the CREDIBLE 2026 board but only 2.4% of credible historical clears (n=3). This is structural, not a sampling accident: franchises do not release high-dynasty players into the FA auction, so the arm that prices most of today's board is essentially UNVALIDATABLE from the archive. POS_DYN_W remains a Keith-tunable judgement call, and the advertised MSE-31/MAE-$3.5K describes the affine arm on ALL clears — a set dominated by $1-2K scrubs — not the number the tool serves on the players you actually bid on.
player,pos,status,owner,dyn_sf_rank,fp_rank,redraft_worth_k,dynasty_worth_k,worth_k,ep_arm_floor_k,ep_arm_affine_k,ep_arm_dyn_anchor_k,ep_arm,m_money,m_pos,m_elite,ep_v4_k,ep_v5_k,ep_k,gap_k,e_apwe_p50,e_apwe_p90,per_apwe,value_ratio,verdict,fit_0008,deal_type,top_competitors
Ted Hurst III,WR,rostered,CBP,WR69,WR78,1,8,4,2,3.51,7.2,dyn_anchor,0.8,1.0,1.0,7,6,6,2,0.13,0.03,46.2,0.67,FAIR,SURPLUS,cut-free dart,
Stefon Diggs,WR,FA,,WR70,WR56,1,8,4,5,3.51,7.2,dyn_anchor,0.8,1.0,1.0,7,6,5,1,0.22,4.18,22.7,0.8,FAIR,SURPLUS,cut-free dart,L.A. Looks; Hawks; Sex Manther
Jerry Jeudy,WR,rostered,Cleon Ca$h,WR72,WR71,1,8,4,2,3.51,7.2,dyn_anchor,0.8,1.0,1.0,7,6,6,2,0.15,1.35,40.0,0.67,FAIR,SURPLUS,cut-free dart,
Kayshon Boutte,WR,rostered,Real Deal Creel,WR75,WR87,1,8,4,2,3.51,7.2,dyn_anchor,0.8,1.0,1.0,7,6,6,2,0.12,0.03,50.0,0.67,FAIR,SURPLUS,cut-free dart,
Troy Franklin,WR,FA,,WR76,WR83,1,8,4,2,3.51,7.2,dyn_anchor,0.8,1.0,1.0,7,6,3,-1,0.12,0.03,25.0,1.33,VALUE,SURPLUS,cut-free dart,L.A. Looks; Hawks; Sex Manther
Skyler Bell,WR,rostered,HammerTime 🔨 ⏰,WR77,WR98,1,8,4,2,3.51,7.2,dyn_anchor,0.8,1.0,1.0,7,6,6,2,0.12,0.03,50.0,0.67,FAIR,SURPLUS,cut-free dart,
Deebo Samuel Sr.,WR,rostered,Gride,WR78,WR65,1,6,4,2,3.51,5.4,dyn_anchor,0.8,1.0,1.0,5,4,4,0,0.18,3.3,22.2,1.0,FAIR,SURPLUS,cut-free dart,
Ja'Kobi Lane,WR,rostered,Hawks,WR82,WR97,1,7,4,2,3.51,6.3,dyn_anchor,0.8,1.0,1.0,6,5,5,1,0.12,0.03,41.7,0.8,FAIR,SURPLUS,cut-free dart,
Pat Bryant,WR,rostered,Blake Bombers,WR84,WR84,1,8,4,2,3.51,7.2,dyn_anchor,0.8,1.0,1.0,7,6,6,2,0.12,0.03,50.0,0.67,FAIR,SURPLUS,cut-free dart,
Chimere Dike,WR,rostered,Hawks,WR85,WR101,1,7,4,2,3.51,6.3,dyn_anchor,0.8,1.0,1.0,6,5,5,1,0.12,0.03,41.7,0.8,FAIR,SURPLUS,cut-free dart,
Tank Dell,WR,rostered,Sex Manther,WR86,WR76,1,8,4,2,3.51,7.2,dyn_anchor,0.8,1.0,1.0,7,6,6,2,0.13,1.28,46.2,0.67,FAIR,SURPLUS,cut-free dart,
Elic Ayomanor,WR,rostered,C-Town Chivalry,WR87,WR109,1,7,4,2,3.51,6.3,dyn_anchor,0.8,1.0,1.0,6,5,5,1,0.12,0.03,41.7,0.8,FAIR,SURPLUS,cut-free dart,
Kyle Williams,WR,rostered,Sex Manther,WR88,WR114,1,6,4,2,3.51,5.4,dyn_anchor,0.8,1.0,1.0,5,4,4,0,0.12,0.03,33.3,1.0,FAIR,SURPLUS,cut-free dart,
Jalen Nailor,WR,FA,,WR89,WR61,1,8,4,2,3.51,7.2,dyn_anchor,0.8,1.0,1.0,7,6,3,-1,0.2,4.18,15.0,1.33,VALUE,SURPLUS,cut-free dart,L.A. Looks; Hawks; Sex Manther
Jack Bech,WR,rostered,Gride,WR90,WR103,1,8,4,2,3.51,7.2,dyn_anchor,0.8,1.0,1.0,7,6,6,2,0.12,0.03,50.0,0.67,FAIR,SURPLUS,cut-free dart,
Keon Coleman,WR,FA,,WR91,WR92,1,8,4,2,3.51,7.2,dyn_anchor,0.8,1.0,1.0,7,6,3,-1,0.12,0.03,25.0,1.33,VALUE,SURPLUS,cut-free dart,L.A. Looks; Hawks; Sex Manther
Tory Horton,WR,rostered,Pure Greatness,WR92,WR90,1,8,4,2,3.51,7.2,dyn_anchor,0.8,1.0,1.0,7,6,6,2,0.12,0.03,50.0,0.67,FAIR,SURPLUS,cut-free dart,
Calvin Ridley,WR,FA,,WR93,WR74,1,6,4,2,3.51,5.4,dyn_anchor,0.8,1.0,1.0,5,4,2,-2,0.14,1.28,14.3,2.0,VALUE,SURPLUS,cut-free dart,L.A. Looks; Hawks; Sex Manther
Darnell Mooney,WR,FA,,WR94,WR80,1,6,4,2,3.51,5.4,dyn_anchor,0.8,1.0,1.0,5,4,2,-2,0.12,0.03,16.7,2.0,VALUE,SURPLUS,cut-free dart,L.A. Looks; Hawks; Sex Manther
Tre Tucker,WR,rostered,The Long Haulers,WR95,WR62,1,8,4,2,3.51,7.2,dyn_anchor,0.8,1.0,1.0,7,6,6,2,0.19,4.18,31.6,0.67,FAIR,SURPLUS,cut-free dart,
Dontayvion Wicks,WR,rostered,The Long Haulers,WR96,WR79,1,7,4,2,3.51,6.3,dyn_anchor,0.8,1.0,1.0,6,5,5,1,0.12,0.03,41.7,0.8,FAIR,SURPLUS,cut-free dart,
Malik Washington,WR,rostered,The Long Haulers,WR97,WR77,1,8,4,2,3.51,7.2,dyn_anchor,0.8,1.0,1.0,7,6,6,2,0.13,0.03,46.2,0.67,FAIR,SURPLUS,cut-free dart,
Ryan Flournoy,WR,FA,,WR102,WR64,1,6,4,2,3.51,5.4,dyn_anchor,0.8,1.0,1.0,5,4,2,-2,0.18,3.62,11.1,2.0,VALUE,SURPLUS,cut-free dart,L.A. Looks; Hawks; Sex Manther
Justin Fields,QB,FA,,QB39,QB38,2,7,4,6,4.35,7.0,dyn_anchor,0.8,1.0,1.0,7,6,6,2,0.35,1.65,17.1,0.67,FAIR,NEED-STUD,cut-free dart,Hawks; Gride; CBP
Kirk Cousins,QB,FA,,QB41,QB35,2,6,4,6,4.35,6.0,floor,0.8,1.0,1.0,6,6,6,2,0.38,4.08,15.8,0.67,FAIR,NEED-STUD,cut-free dart,Hawks; Gride; CBP
Cade Klubnik,QB,rostered,CBP,QB48,QB42,2,5,4,2,4.35,5.0,dyn_anchor,0.8,1.0,1.0,5,4,4,0,0.31,0.56,12.9,1.0,FAIR,NEED-STUD,cut-free dart,
Jalen Milroe,QB,rostered,C-Town Chivalry,QB49,QB49,2,5,4,2,4.35,5.0,dyn_anchor,0.8,1.0,1.0,5,4,4,0,0.26,0.52,15.4,1.0,FAIR,NEED-STUD,cut-free dart,
Theo Johnson,TE,FA,,TE36,TE38,2,7,4,2,4.35,6.3,dyn_anchor,0.8,1.0,1.0,6,5,2,-2,0.35,0.04,5.7,2.0,VALUE,DEPTH,cut-free dart,CBP; Gride; L.A. Looks
Justin Joly,TE,rostered,Gride,TE38,TE48,2,7,4,2,4.35,6.3,dyn_anchor,0.8,1.0,1.0,6,5,5,1,0.27,0.01,18.5,0.8,FAIR,DEPTH,cut-free dart,
Michael Mayer,TE,rostered,Real Deal Creel,TE39,TE37,2,7,4,2,4.35,6.3,dyn_anchor,0.8,1.0,1.0,6,5,5,1,0.36,0.04,13.9,0.8,FAIR,DEPTH,cut-free dart,
Jake Tonges,TE,FA,,TE40,TE36,2,6,4,2,4.35,5.4,dyn_anchor,0.8,1.0,1.0,5,4,2,-2,0.37,0.09,5.4,2.0,VALUE,DEPTH,cut-free dart,CBP; Gride; L.A. Looks
Colby Parkinson,TE,rostered,L.A. Looks,TE41,TE33,3,6,4,2,5.19,5.4,dyn_anchor,0.8,1.0,1.0,5,4,4,0,0.39,0.16,10.3,1.0,FAIR,DEPTH,cut-free dart,
Evan Engram,TE,FA,,TE42,TE35,2,5,4,2,4.35,4.5,dyn_anchor,0.8,1.0,1.0,4,4,2,-2,0.38,0.09,5.3,2.0,VALUE,DEPTH,cut-free dart,CBP; Gride; L.A. Looks
Cole Kmet,TE,rostered,CBP,TE44,TE46,2,6,4,2,4.35,5.4,dyn_anchor,0.8,1.0,1.0,5,4,4,0,0.28,0.01,14.3,1.0,FAIR,DEPTH,cut-free dart,
Darnell Washington,TE,FA,,TE45,TE34,2,5,4,2,4.35,4.5,dyn_anchor,0.8,1.0,1.0,4,4,1,-3,0.38,0.16,2.6,4.0,VALUE,DEPTH,cut-free dart,CBP; Gride; L.A. Looks
Ja'Tavion Sanders,TE,rostered,Real Deal Creel,TE46,TE39,2,6,4,2,4.35,5.4,dyn_anchor,0.8,1.0,1.0,5,4,4,0,0.34,0.01,11.8,1.0,FAIR,DEPTH,cut-free dart,
Mike Gesicki,TE,FA,,TE48,TE32,3,4,4,2,5.19,3.6,affine,0.8,1.0,1.0,5,4,1,-3,0.4,0.81,2.5,4.0,VALUE,DEPTH,cut-free dart,CBP; Gride; L.A. Looks
Emanuel Wilson,RB,rostered,Blake Bombers,RB65,RB71,1,5,3,2,3.51,2.75,affine,0.8,1.0,1.0,4,3,3,0,0.15,0.85,20.0,1.0,FAIR,DEPTH,cut-free dart,
LeQuint Allen Jr.,RB,rostered,Hawks,RB86,RB73,1,5,3,2,3.51,2.75,affine,0.8,1.0,1.0,4,3,3,0,0.15,0.84,20.0,1.0,FAIR,DEPTH,cut-free dart,
Rashod Bateman,WR,rostered,HammerTime 🔨 ⏰,WR99,WR93,1,5,3,2,3.51,4.5,dyn_anchor,0.8,1.0,1.0,4,4,4,1,0.12,0.03,33.3,0.75,FAIR,SURPLUS,cut-free dart,
Bryce Lance,WR,rostered,L.A. Looks,WR100,WR118,1,5,3,2,3.51,4.5,dyn_anchor,0.8,1.0,1.0,4,4,4,1,0.12,0.03,33.3,0.75,FAIR,SURPLUS,cut-free dart,
Xavier Legette,WR,rostered,Pure Greatness,WR106,WR111,1,5,3,2,3.51,4.5,dyn_anchor,0.8,1.0,1.0,4,4,4,1,0.12,0.03,33.3,0.75,FAIR,SURPLUS,cut-free dart,
Tez Johnson,WR,FA,,WR107,WR124,1,5,3,2,3.51,4.5,dyn_anchor,0.8,1.0,1.0,4,4,2,-1,0.12,0.03,16.7,1.5,VALUE,SURPLUS,cut-free dart,L.A. Looks; Hawks; Sex Manther
Drew Allar,QB,rostered,Hawks,QB42,,0,6,3,0,2.67,6.0,dyn_anchor,0.8,1.0,1.0,6,5,5,2,0.0,0.0,,0.6,FAIR,NEED-STUD,cut-free dart,
James Conner,RB,FA,,RB63,RB70,1,4,2,2,3.51,2.2,affine,0.8,1.0,1.0,4,3,2,0,0.16,0.85,12.5,1.0,FAIR,DEPTH,cut-free dart,CBP; Gride; Hawks
Adam Randall,RB,rostered,Gride,RB70,RB76,1,3,2,2,3.51,1.65,affine,0.8,1.0,1.0,4,3,3,1,0.13,0.84,23.1,0.67,FAIR,DEPTH,cut-free dart,
Devin Neal,RB,rostered,Gride,RB71,RB92,1,4,2,2,3.51,2.2,affine,0.8,1.0,1.0,4,3,3,1,0.12,0.42,25.0,0.67,FAIR,DEPTH,cut-free dart,
Eli Heidenreich,RB,rostered,Blake Bombers,RB74,RB88,1,3,2,2,3.51,1.65,affine,0.8,1.0,1.0,4,3,3,1,0.12,0.42,25.0,0.67,FAIR,DEPTH,cut-free dart,
Seth McGowan,RB,rostered,Sex Manther,RB76,RB93,1,2,2,2,3.51,1.1,affine,0.8,1.0,1.0,4,3,3,1,0.12,0.42,25.0,0.67,FAIR,DEPTH,cut-free dart,
Najee Harris,RB,FA,,RB78,RB81,1,2,2,2,3.51,1.1,affine,0.8,1.0,1.0,4,3,2,0,0.12,0.42,16.7,1.0,FAIR,DEPTH,cut-free dart,CBP; Gride; Hawks
DJ Giddens,RB,rostered,Gride,RB79,RB75,1,4,2,2,3.51,2.2,affine,0.8,1.0,1.0,4,3,3,1,0.14,0.84,21.4,0.67,FAIR,DEPTH,cut-free dart,
Brashard Smith,RB,FA,,RB80,RB102,1,2,2,2,3.51,1.1,affine,0.8,1.0,1.0,4,3,2,0,0.12,0.42,16.7,1.0,FAIR,DEPTH,cut-free dart,CBP; Gride; Hawks
Isaiah Davis,RB,rostered,C-Town Chivalry,RB81,RB89,1,2,2,2,3.51,1.1,affine,0.8,1.0,1.0,4,3,3,1,0.12,0.42,25.0,0.67,FAIR,DEPTH,cut-free dart,
Chris Brooks,RB,FA,,RB82,RB77,1,2,2,2,3.51,1.1,affine,0.8,1.0,1.0,4,3,2,0,0.13,0.84,15.4,1.0,FAIR,DEPTH,cut-free dart,CBP; Gride; Hawks
Jarquez Hunter,RB,rostered,Blake Bombers,RB85,RB104,1,2,2,2,3.51,1.1,affine,0.8,1.0,1.0,4,3,3,1,0.12,0.42,25.0,0.67,FAIR,DEPTH,cut-free dart,
Trevor Etienne,RB,rostered,Gride,RB87,RB87,1,3,2,2,3.51,1.65,affine,0.8,1.0,1.0,4,3,3,1,0.12,0.42,25.0,0.67,FAIR,DEPTH,cut-free dart,
Tahj Brooks,RB,rostered,Sex Manther,RB88,RB84,1,2,2,2,3.51,1.1,affine,0.8,1.0,1.0,4,3,3,1,0.12,0.42,25.0,0.67,FAIR,DEPTH,cut-free dart,
George Holani,RB,FA,,RB97,RB65,1,2,2,2,3.51,1.1,affine,0.8,1.0,1.0,4,3,2,0,0.18,0.85,11.1,1.0,FAIR,DEPTH,cut-free dart,CBP; Gride; Hawks
Marvin Mims Jr.,WR,rostered,L.A. Looks,WR98,WR136,1,4,2,2,3.51,3.6,dyn_anchor,0.8,1.0,1.0,4,3,3,1,0.12,0.03,25.0,0.67,FAIR,SURPLUS,cut-free dart,
Brenen Thompson,WR,FA,,WR101,WR108,1,4,2,2,3.51,3.6,dyn_anchor,0.8,1.0,1.0,4,3,2,0,0.12,0.03,16.7,1.0,FAIR,SURPLUS,cut-free dart,L.A. Looks; Hawks; Sex Manther
Christian Kirk,WR,FA,,WR103,WR94,1,4,2,2,3.51,3.6,dyn_anchor,0.8,1.0,1.0,4,3,2,0,0.12,0.03,16.7,1.0,FAIR,SURPLUS,cut-free dart,L.A. Looks; Hawks; Sex Manther
Cedric Tillman,WR,FA,,WR104,WR152,1,3,2,2,3.51,2.7,affine,0.8,1.0,1.0,4,3,2,0,0.12,0.03,16.7,1.0,FAIR,SURPLUS,cut-free dart,L.A. Looks; Hawks; Sex Manther
Kevin Coleman Jr.,WR,rostered,The Long Haulers,WR105,WR121,1,3,2,2,3.51,2.7,affine,0.8,1.0,1.0,4,3,3,1,0.12,0.03,25.0,0.67,FAIR,SURPLUS,cut-free dart,
Cooper Kupp,WR,FA,,WR108,WR81,1,3,2,2,3.51,2.7,affine,0.8,1.0,1.0,4,3,2,0,0.12,0.03,16.7,1.0,FAIR,SURPLUS,cut-free dart,L.A. Looks; Hawks; Sex Manther
Keenan Allen,WR,FA,,WR109,WR104,1,2,2,2,3.51,1.8,affine,0.8,1.0,1.0,4,3,2,0,0.12,0.03,16.7,1.0,FAIR,SURPLUS,cut-free dart,L.A. Looks; Hawks; Sex Manther
Devaughn Vele,WR,FA,,WR110,WR96,1,2,2,2,3.51,1.8,affine,0.8,1.0,1.0,4,3,2,0,0.12,0.03,16.7,1.0,FAIR,SURPLUS,cut-free dart,L.A. Looks; Hawks; Sex Manther
DeMario Douglas,WR,FA,,WR112,WR138,1,3,2,2,3.51,2.7,affine,0.8,1.0,1.0,4,3,2,0,0.12,0.03,16.7,1.0,FAIR,SURPLUS,cut-free dart,L.A. Looks; Hawks; Sex Manther
Darius Slayton,WR,FA,,WR113,WR102,1,2,2,2,3.51,1.8,affine,0.8,1.0,1.0,4,3,2,0,0.12,0.03,16.7,1.0,FAIR,SURPLUS,cut-free dart,L.A. Looks; Hawks; Sex Manther
Jalen Royals,WR,rostered,Cleon Ca$h,WR114,WR128,1,3,2,2,3.51,2.7,affine,0.8,1.0,1.0,4,3,3,1,0.12,0.03,25.0,0.67,FAIR,SURPLUS,cut-free dart,
Isaiah Bond,WR,rostered,L.A. Looks,WR115,WR120,1,4,2,2,3.51,3.6,dyn_anchor,0.8,1.0,1.0,4,3,3,1,0.12,0.03,25.0,0.67,FAIR,SURPLUS,cut-free dart,
Jalen Tolbert,WR,FA,,WR117,WR107,1,2,2,2,3.51,1.8,affine,0.8,1.0,1.0,4,3,1,-1,0.12,0.03,8.3,2.0,VALUE,SURPLUS,cut-free dart,L.A. Looks; Hawks; Sex Manther
Dont'e Thornton Jr.,WR,rostered,Pure Greatness,WR118,WR150,1,4,2,2,3.51,3.6,dyn_anchor,0.8,1.0,1.0,4,3,3,1,0.12,0.03,25.0,0.67,FAIR,SURPLUS,cut-free dart,
Andrei Iosivas,WR,FA,,WR119,WR99,1,2,2,2,3.51,1.8,affine,0.8,1.0,1.0,4,3,1,-1,0.12,0.03,8.3,2.0,VALUE,SURPLUS,cut-free dart,L.A. Looks; Hawks; Sex Manther
Zavion Thomas,WR,FA,,WR120,WR100,1,2,2,2,3.51,1.8,affine,0.8,1.0,1.0,4,3,1,-1,0.12,0.03,8.3,2.0,VALUE,SURPLUS,cut-free dart,L.A. Looks; Hawks; Sex Manther
Caleb Douglas,WR,rostered,Pure Greatness,WR121,WR105,1,4,2,2,3.51,3.6,dyn_anchor,0.8,1.0,1.0,4,3,3,1,0.12,0.03,25.0,0.67,FAIR,SURPLUS,cut-free dart,
Tyquan Thornton,WR,rostered,Real Deal Creel,WR123,WR95,1,3,2,2,3.51,2.7,affine,0.8,1.0,1.0,4,3,3,1,0.12,0.03,25.0,0.67,FAIR,SURPLUS,cut-free dart,
Jaylin Lane,WR,rostered,Hawks,WR124,WR137,1,2,2,2,3.51,1.8,affine,0.8,1.0,1.0,4,3,3,1,0.12,0.03,25.0,0.67,FAIR,SURPLUS,cut-free dart,
Savion Williams,WR,rostered,Pure Greatness,WR126,WR110,1,2,2,2,3.51,1.8,affine,0.8,1.0,1.0,4,3,3,1,0.12,0.03,25.0,0.67,FAIR,SURPLUS,cut-free dart,
Jahan Dotson,WR,FA,,WR138,WR112,1,2,2,2,3.51,1.8,affine,0.8,1.0,1.0,4,3,1,-1,0.12,0.03,8.3,2.0,VALUE,SURPLUS,cut-free dart,L.A. Looks; Hawks; Sex Manther
Garrett Nussmeier,QB,FA,,QB43,,0,3,2,0,2.67,3.0,dyn_anchor,0.8,1.0,1.0,3,2,1,-1,0.0,0.0,,2.0,VALUE,NEED-STUD,cut-free dart,Hawks; Gride; CBP
Marcus Mariota,QB,FA,,QB44,QB50,2,2,2,2,4.35,2.0,affine,0.8,1.0,1.0,4,3,1,-1,0.26,0.52,3.8,2.0,VALUE,NEED-STUD,cut-free dart,Hawks; Gride; CBP
Jameis Winston,QB,FA,,QB45,QB43,2,2,2,2,4.35,2.0,affine,0.8,1.0,1.0,4,3,1,-1,0.31,0.52,3.2,2.0,VALUE,NEED-STUD,cut-free dart,Hawks; Gride; CBP
Taylen Green,QB,rostered,Cleon Ca$h,QB46,QB47,2,2,2,2,4.35,2.0,affine,0.8,1.0,1.0,4,3,3,1,0.28,0.52,10.7,0.67,FAIR,NEED-STUD,cut-free dart,
Tyson Bagent,QB,rostered,Sex Manther,QB47,QB45,2,2,2,2,4.35,2.0,affine,0.8,1.0,1.0,4,3,3,1,0.29,0.52,10.3,0.67,FAIR,NEED-STUD,cut-free dart,
Joe Milton III,QB,FA,,QB51,QB46,2,2,2,2,4.35,2.0,affine,0.8,1.0,1.0,4,3,1,-1,0.28,0.52,3.6,2.0,VALUE,NEED-STUD,cut-free dart,Hawks; Gride; CBP
Will Howard,QB,rostered,CBP,QB52,QB48,2,3,2,2,4.35,3.0,affine,0.8,1.0,1.0,4,3,3,1,0.27,0.52,11.1,0.67,FAIR,NEED-STUD,cut-free dart,
Quinn Ewers,QB,rostered,The Long Haulers,QB53,,0,3,2,0,2.67,3.0,dyn_anchor,0.8,1.0,1.0,3,2,2,0,0.0,0.0,,1.0,FAIR,NEED-STUD,cut-free dart,
Joe Flacco,QB,FA,,QB55,QB40,2,1,2,6,4.35,1.0,floor,0.8,1.0,1.0,6,6,6,4,0.33,1.05,18.2,0.33,FAIR,NEED-STUD,cut-free dart,Hawks; Gride; CBP
Ben Sinnott,TE,rostered,HammerTime 🔨 ⏰,TE43,TE57,1,4,2,2,3.51,3.6,dyn_anchor,0.8,1.0,1.0,4,3,3,1,0.22,0.01,13.6,0.67,FAIR,DEPTH,cut-free dart,
Sam Roush,TE,rostered,Sex Manther,TE47,TE70,1,2,2,2,3.51,1.8,affine,0.8,1.0,1.0,4,3,3,1,0.16,0.01,18.8,0.67,FAIR,DEPTH,cut-free dart,
Tanner Koziol,TE,FA,,TE50,TE55,1,2,2,2,3.51,1.8,affine,0.8,1.0,1.0,4,3,1,-1,0.23,0.01,4.3,2.0,VALUE,DEPTH,cut-free dart,CBP; Gride; L.A. Looks
Michael Trigg,TE,FA,,TE51,TE61,1,2,2,2,3.51,1.8,affine,0.8,1.0,1.0,4,3,1,-1,0.2,0.01,5.0,2.0,VALUE,DEPTH,cut-free dart,CBP; Gride; L.A. Looks
Dawson Knox,TE,FA,,TE55,TE40,2,2,2,2,4.35,1.8,affine,0.8,1.0,1.0,4,3,1,-1,0.33,0.01,3.0,2.0,VALUE,DEPTH,cut-free dart,CBP; Gride; L.A. Looks
Luke Musgrave,TE,FA,,TE59,TE53,2,2,2,2,4.35,1.8,affine,0.8,1.0,1.0,4,3,1,-1,0.24,0.01,4.2,2.0,VALUE,DEPTH,cut-free dart,CBP; Gride; L.A. Looks
Erick All Jr.,TE,rostered,Pure Greatness,TE61,TE47,2,2,2,2,4.35,1.8,affine,0.8,1.0,1.0,4,3,3,1,0.28,0.01,10.7,0.67,FAIR,DEPTH,cut-free dart,
Noah Gray,TE,FA,,TE63,TE51,2,2,2,2,4.35,1.8,affine,0.8,1.0,1.0,4,3,1,-1,0.25,0.01,4.0,2.0,VALUE,DEPTH,cut-free dart,CBP; Gride; L.A. Looks
J'Mari Taylor,RB,FA,,RB83,RB94,1,1,1,2,3.51,0.55,affine,0.8,1.0,1.0,4,3,2,1,0.12,0.42,16.7,0.5,FAIR,DEPTH,cut-free dart,CBP; Gride; Hawks
Jerome Ford,RB,FA,,RB91,RB96,1,1,1,2,3.51,0.55,affine,0.8,1.0,1.0,4,3,2,1,0.12,0.42,16.7,0.5,FAIR,DEPTH,cut-free dart,CBP; Gride; Hawks
Justice Hill,RB,FA,,RB92,RB67,1,1,1,2,3.51,0.55,affine,0.8,1.0,1.0,4,3,2,1,0.17,0.85,11.8,0.5,FAIR,DEPTH,cut-free dart,CBP; Gride; Hawks
Devin Singletary,RB,FA,,RB93,RB95,1,1,1,2,3.51,0.55,affine,0.8,1.0,1.0,4,3,2,1,0.12,0.42,16.7,0.5,FAIR,DEPTH,cut-free dart,CBP; Gride; Hawks
Isaac Guerendo,RB,FA,,RB98,RB100,1,1,1,2,3.51,0.55,affine,0.8,1.0,1.0,4,3,2,1,0.12,0.42,16.7,0.5,FAIR,DEPTH,cut-free dart,CBP; Gride; Hawks
Joe Mixon,RB,FA,,RB100,RB90,1,1,1,2,3.51,0.55,affine,0.8,1.0,1.0,4,3,2,1,0.12,0.42,16.7,0.5,FAIR,DEPTH,cut-free dart,CBP; Gride; Hawks
Ty Johnson,RB,FA,,RB102,RB79,1,1,1,2,3.51,0.55,affine,0.8,1.0,1.0,4,3,2,1,0.12,0.65,16.7,0.5,FAIR,DEPTH,cut-free dart,CBP; Gride; Hawks
Malik Davis,RB,FA,,RB103,RB78,1,1,1,2,3.51,0.55,affine,0.8,1.0,1.0,4,3,2,1,0.13,0.65,15.4,0.5,FAIR,DEPTH,cut-free dart,CBP; Gride; Hawks
Audric Estime,RB,FA,,RB104,RB99,1,1,1,2,3.51,0.55,affine,0.8,1.0,1.0,4,3,1,0,0.12,0.42,8.3,1.0,FAIR,DEPTH,cut-free dart,CBP; Gride; Hawks
Samaje Perine,RB,FA,,RB106,RB72,1,1,1,2,3.51,0.55,affine,0.8,1.0,1.0,4,3,1,0,0.15,0.85,6.7,1.0,FAIR,DEPTH,cut-free dart,CBP; Gride; Hawks
Jaydn Ott,RB,FA,,RB115,RB103,1,1,1,2,3.51,0.55,affine,0.8,1.0,1.0,4,3,1,0,0.12,0.42,8.3,1.0,FAIR,DEPTH,cut-free dart,CBP; Gride; Hawks
Emari Demercado,RB,FA,,RB121,RB82,1,1,1,2,3.51,0.55,affine,0.8,1.0,1.0,4,3,1,0,0.12,0.42,8.3,1.0,FAIR,DEPTH,cut-free dart,CBP; Gride; Hawks
Cyrus Allen,WR,FA,,WR116,WR119,1,1,1,2,3.51,0.9,affine,0.8,1.0,1.0,4,3,2,1,0.12,0.03,16.7,0.5,FAIR,SURPLUS,cut-free dart,L.A. Looks; Hawks; Sex Manther
Joshua Palmer,WR,FA,,WR125,WR133,1,1,1,2,3.51,0.9,affine,0.8,1.0,1.0,4,3,1,0,0.12,0.03,8.3,1.0,FAIR,SURPLUS,cut-free dart,L.A. Looks; Hawks; Sex Manther
Calvin Austin III,WR,FA,,WR127,WR147,1,1,1,2,3.51,0.9,affine,0.8,1.0,1.0,4,3,1,0,0.12,0.03,8.3,1.0,FAIR,SURPLUS,cut-free dart,L.A. Looks; Hawks; Sex Manther
CJ Daniels,WR,FA,,WR128,WR123,1,1,1,2,3.51,0.9,affine,0.8,1.0,1.0,4,3,1,0,0.12,0.03,8.3,1.0,FAIR,SURPLUS,cut-free dart,L.A. Looks; Hawks; Sex Manther
Luke McCaffrey,WR,FA,,WR129,WR134,1,1,1,2,3.51,0.9,affine,0.8,1.0,1.0,4,3,1,0,0.12,0.03,8.3,1.0,FAIR,SURPLUS,cut-free dart,L.A. Looks; Hawks; Sex Manther
John Metchie III,WR,FA,,WR130,WR155,1,1,1,2,3.51,0.9,affine,0.8,1.0,1.0,4,3,1,0,0.12,0.03,8.3,1.0,FAIR,SURPLUS,cut-free dart,L.A. Looks; Hawks; Sex Manther
Jordan Whittington,WR,FA,,WR133,WR129,1,1,1,2,3.51,0.9,affine,0.8,1.0,1.0,4,3,1,0,0.12,0.03,8.3,1.0,FAIR,SURPLUS,cut-free dart,L.A. Looks; Hawks; Sex Manther
